name,aliases,badge,eNumber
huile de palme,huile de palme; palm oil; graisse de palme; graisses de palme; huile de palme raffinee; huile de palme raffinée; refined palm oil; palm fruit oil; huile de palmiste; palm kernel oil; oleine de palme; oléine de palme; palm olein; palmolein; stearine de palme; stéarine de palme; palm stearin; matiere grasse de palme; matière grasse de palme; palm fat; palm shortening; shortening de palme; graisse de palmiste; palm kernel fat; huile de palme bio; organic palm oil; huile de palme durable; sustainable palm oil; huile de palme certifiee; certified palm oil; palm-oil,Processed,
huile de soja,huile de soja; soybean oil; soy oil; soybean-oil,Processed,
huile de tournesol,huile de tournesol; sunflower oil; huile de tournesol raffinee; huile de tournesol à haute teneur en acide oléique; high oleic sunflower oil; sunflower-oil,Processed,
Huile hydrogénée / Gras trans,Huile hydrogénée / Gras trans; hydrogenated-oil,Processed,
huile vegetale,huile vegetale; vegetable oil; huiles vegetales; corps gras vegetaux; huile végétale; graisses vegetales; graisses végétales; matiere grasse vegetale; matière grasse végétale,Processed,
hydrogenated,hydrogenated; hydrogene; partiellement hydrogene; huile hydrogénée; graisse hydrogénée,Processed,
hydroxyde de calcium,hydroxyde de calcium; calcium hydroxide; chaux; e526,Processed,E526
hydroxyde de potassium,hydroxyde de potassium; potassium hydroxide; e525,Processed,E525
hydroxyde de sodium,hydroxyde de sodium; sodium hydroxide; soude caustique; e524,Processed,E524
imitation mozzarella,imitation mozzarella; imitation cheese; fromage imitation; rehydrated mozzarella; rehydrated cheese,Processed,
inositol,inositol; myo-inositol; myo inositol; inositole,Processed,
isolat de proteines,isolat de proteines; protein isolate; soy protein isolate; milk protein concentrate; pea protein isolate; isolat de protéines; proteine de soya texturee; protéine de soya texturée; textured soy protein; soja texturé; tsp; tvp,Processed,
"Isothiazolinones (MIT, CMIT)","Isothiazolinones (MIT, CMIT); mit-cmit",Processed,
jaune 6,jaune 6; yellow 6; sunset yellow; jaune orange s; fd&c yellow 6; e110; Jaune orangé S / Yellow 6,Processed,E110
jaune de quinoléine,jaune de quinoléine; jaune quinoléine; quinoline yellow; quinoléine yellow; e104,Processed,E104
maltodextrine,maltodextrine; maltodextrin,Processed,
modified whey,modified whey; whey modified; lactosérum modifié,Processed,
msg,msg; glutamate monosodique; monosodium glutamate; 글루타민산나트륨; l-글루타민산나트륨; 엘글루타민산나트륨; 엠에스지; 미원; e621; Glutamate monosodique (MSG),Processed,E621
niacinamide,niacinamide; nicotinamide; vitamine b3; vitamin b3; niacine; niacin; vitamine pp,Processed,
Nonylphénols éthoxylés (NPE),Nonylphénols éthoxylés (NPE); npe,Processed,
octinoxate,octinoxate; homosalate; octisalate,Processed,
orange b,orange b; orange-b,Processed,
oxybenzone,oxybenzone; benzophenone-3; benzophenone 3; Oxybenzone (Benzophenone-3),Processed,
pantothenate de calcium,pantothenate de calcium; pantothénate de calcium; calcium pantothenate; d-pantothenate de calcium; d-pantothénate de calcium; vitamine b5; vitamin b5,Processed,
"Parabènes (méthyl, éthyl, propyl, butyl)","Parabènes (méthyl, éthyl, propyl, butyl); parabens",Processed,
pepperoni,pepperoni; pepperonis,Processed,
Perchloréthylène,Perchloréthylène; perchloroethylene,Processed,
pgpr,pgpr; polyglycerol polyricinoleate; e476; PGPR (Polyglycerol polyricinoleate),Processed,E476
phenoxyethanol,phenoxyethanol; phénoxyéthanol,Processed,
phosphate de diamidon,phosphate de diamidon; distarch phosphate; e1412,Processed,E1412
phosphate de diamidon acetyle,phosphate de diamidon acetyle; acetylated distarch phosphate; amidon modifié acétylé; fécule de pomme de terre modifiée; fecule de pomme de terre modifiee; modified potato starch; fécule modifiée de pomme de terre; e1422,Processed,E1422
phtalate,phtalate; phthalate; dbp; dehp; dep,Processed,
Phtalate DBP,Phtalate DBP; phthalate-dbp,Processed,
Phtalate DEHP,Phtalate DEHP; phthalate-dehp,Processed,
Phtalates (parfums),Phtalates (parfums); phthalates-fragrance,Processed,
polysorbate 20,polysorbate 20; e432,Processed,E432
polysorbate 40,polysorbate 40; e434,Processed,E434
polysorbate 60,polysorbate 60; e435,Processed,E435
polysorbate 65,polysorbate 65; e436,Processed,E436
polysorbate 80,polysorbate 80; polysorbate80; e433,Processed,E433
ponceau 4r,ponceau 4r; rouge cochenille a; e124; Rouge cochenille A / Ponceau 4R,Processed,E124
proteine de soja,proteine de soja; protéine de soja; soy protein; proteines de soja; protéines de soja,Processed,
proteines hydrolysees,proteines hydrolysees; hydrolyzed protein; hydrolyse; hydrolyzed; protéines hydrolysées; hydrolyzed-protein,Processed,
pyridoxine chlorhydrate,pyridoxine chlorhydrate; chlorhydrate de pyridoxine; pyridoxine hydrochloride; pyridoxine hcl; hcl de pyridoxine; vitamine b6; vitamin b6,Processed,
saccharine,saccharine; saccharin; e954,Processed,E954
silicate alumino-calcique,silicate alumino-calcique; calcium aluminosilicate; silicate aluminium; aluminum silicate; e556; Silicate aluminium calcium,Processed,E556
silicate alumino-potassique,silicate alumino-potassique; potassium aluminosilicate; e555; Silicate aluminium potassium,Processed,E555
silicate alumino-sodique,silicate alumino-sodique; sodium aluminosilicate; e554; Silicate aluminium sodium,Processed,E554
silicate de sodium,silicate de sodium; sodium silicate; e550,Processed,E550
silice,silice; silica; silicon dioxide; gel de silice; silica gel; dioxyde de silicium; e551,Processed,E551
sirop de glucose,sirop de glucose; glucose syrup; glucose-sirop; sirop de maïs; corn syrup; glucose-syrup; corn-syrup,Processed,
sirop de glucose-fructose,sirop de glucose-fructose; glucose-fructose syrup; hfcs; high fructose corn syrup; sirop de glucose fructose; sirop de maïs à haute teneur en fructose; sirop de mais haute fructose; Sirop de glucose-fructose / HFCS,Processed,
substances laitieres modifiees,substances laitieres modifiees; substances laitières modifiées; modified milk ingredients; ingredients laitiers modifies; ingrédients laitiers modifiés,Processed,
sucralose,sucralose; e955,Processed,E955
sucre,sucre; sugar; saccharose; sucrose; sucre blanc; white sugar; sucre raffiné; sucre raffine; refined sugar,Processed,
sucre inverti,sucre inverti; invert sugar; inverted sugar; sucre invert; invert cane sugar; sucre de canne inverti; sirop de canne inverti; invert cane syrup; inverti sucre; sirop inverti; invert syrup,Processed,
sucres,sucres; sugars,Processed,
tapioca dextrin,tapioca dextrin; dextrine de tapioca; tapioca dextrine,Processed,
tartrazine,tartrazine; jaune 5; yellow 5; fd&c yellow 5; e102; Tartrazine / Yellow 5,Processed,E102
tbhq,tbhq; tert-butylhydroquinone; tertiary butylhydroquinone; tertiary-butylhydroquinone; mono-tert-butylhydroquinone; butylhydroquinone; e319; TBHQ (Tert-butylhydroquinone),Processed,E319
triclosan,triclosan; irgasan,Processed,
vert 3,vert 3; green 3; e143; Vert solide FCF / Green 3,Processed,E143
vinaigre en poudre,vinaigre en poudre; powdered vinegar; vinegar powder; poudre de vinaigre,Processed,
Acétaldéhyde,Acétaldéhyde; acetaldehyde,Occasional,
Acide benzoïque,Acide benzoïque; E210,Occasional,E210
Acide citrique industriel,Acide citrique industriel; citric-acid-industrial,Occasional,
acide guanylique,acide guanylique; guanylic acid; e626,Occasional,E626
acide inosinique,acide inosinique; inosinic acid; e630,Occasional,E630
acide lactique,acide lactique; lactic acid; e270,Occasional,E270
acide malique,acide malique; malic acid; e296,Occasional,E296
acide succinique,acide succinique; succinic acid; e363,Occasional,E363
alginate,alginate; alginate de sodium; sodium alginate; e401,Occasional,E401
alginate de calcium,alginate de calcium; calcium alginate; e404,Occasional,E404
alginate de potassium,alginate de potassium; potassium alginate; e402,Occasional,E402
"Aluminium (casseroles, papier)","Aluminium (casseroles, papier); aluminum-cookware",Occasional,
aluminum chlorohydrate,aluminum chlorohydrate; aluminium zirconium; chlorhydrate d\,Occasional,
amidon,amidon; starch,Occasional,
amidon de ble,amidon de ble; amidon de blé; wheat starch; fécule de pomme de terre; potato starch; farine de riz; rice flour; amidon de riz; rice starch; amidon de pomme de terre,Occasional,
Ammoniac,Ammoniac; ammonia,Occasional,
anthocyanes,anthocyanes; anthocyanins; e163,Occasional,E163
Antimoine,Antimoine; antimony,Occasional,
arome bio,arome bio; arôme bio; aromes bio; arômes bio; arome naturel bio; arôme naturel bio; aromes naturels bio; arômes naturels bio; organic flavor; organic flavors; organic flavour; organic flavours; organic natural flavor; organic natural flavors; organic flavoring; organic flavouring,Occasional,
benzoate de potassium,benzoate de potassium; potassium benzoate; e212,Occasional,E212
bht,bht; butylhydroxytoluene; e321; BHT (Butylhydroxytoluène),Occasional,E321
bisulfite de calcium,bisulfite de calcium; calcium bisulphite; calcium bisulfite; e227,Occasional,E227
bisulfite de potassium,bisulfite de potassium; potassium bisulphite; potassium bisulfite; e228,Occasional,E228
bisulfite de sodium,bisulfite de sodium; sodium bisulphite; sodium bisulfite; e222,Occasional,E222
bouillon,bouillon; broth; bouillon de porc; bouillon de poulet; bouillon de boeuf; bouillon de bœuf; bouillon de legumes; bouillon de légumes; chicken broth; pork broth; beef broth; vegetable broth; bouillon compose; bouillon composé,Occasional,
carbonate de sodium,carbonate de sodium; sodium carbonate; e500,Occasional,E500
cheddar deshydrate,cheddar deshydrate; cheddar déshydraté; dehydrated cheddar; dried cheese; poudre de fromage; cheese powder,Occasional,
chlorophylle,chlorophylle; chlorophylles; chlorophyll; chlorophyllines; e140; e141,Occasional,E140
chlorure de potassium,chlorure de potassium; potassium chloride; e508,Occasional,E508
citrate de potassium,citrate de potassium; potassium citrate; e332,Occasional,E332
citrate de sodium,citrate de sodium; sodium citrate; e331,Occasional,E331
citrate triammonique,citrate triammonique; triammonium citrate; e380,Occasional,E380
cochenille,cochenille; carmine; carmin; cochineal; 코치닐추출색소; 코치닐; 카민; e120; Cochenille / Carmin,Occasional,E120
d-alpha tocopherol,d-alpha tocopherol; d-alpha-tocopherol; d alpha tocopherol; d-alpha tocophérol; d-alpha-tocophérol; d alpha tocophérol; rrr-alpha-tocopherol; rrr alpha tocopherol; rrr-alpha tocopherol; rrr-alpha-tocophérol; rrr alpha tocophérol; d-alpha-tocophéryl; d-alpha tocopheryl; d-alpha-tocopheryl; alpha-tocopherol; alpha tocopherol; alpha-tocophérol; tocopherol; tocopherols; tocophérol; tocophérols; mixed tocopherols; tocophérols mélangés; vitamine e; vitamin e; e307,Occasional,E307
dioxyde de soufre,dioxyde de soufre; sulfur dioxide; sulfite; sulphite; e220,Occasional,E220
diphosphate,diphosphate; e450; Diphosphates,Occasional,E450
emulsifiant,emulsifiant; emulsifiants; émulsifiant; émulsifiants; emulsifier; emulsifiers; e471; mono et diglycerides; monoglycerides; diglycerides; mono- et diglycérides; monodiglycérides; mono and diglycerides; mono- and diglycerides; Mono- et diglycérides E471,Occasional,E471
erythorbate de sodium,erythorbate de sodium; érythorbate de sodium; sodium erythorbate; e316,Occasional,E316
extrait de levure,extrait de levure; yeast extract; extraits de levure; yeast-extract,Occasional,
farine de ble enrichie,farine de ble enrichie; farine de blé enrichie; enriched wheat flour; farine enrichie; enriched flour,Occasional,
fécule de maïs,fécule de maïs; fecule de mais; cornstarch; corn starch; amidon de mais; amidon de maïs; farine de mais; farine de maïs,Occasional,
ferrocyanure de sodium,ferrocyanure de sodium; sodium ferrocyanide; e535,Occasional,E535
fragrance,fragrance; parfum; Fragrance / Parfum,Occasional,
fromage allege,fromage allege; fromage allégé; fromage faible en gras; fromage maigre; reduced fat cheese; low fat cheese; light cheese; mozzarella allegee; mozzarella allégée; mozzarella allege; mozzarella allégé; mozzarella a teneur reduite; mozzarella à teneur réduite; reduced fat mozzarella; part skim mozzarella,Occasional,
Fructose ajouté,Fructose ajouté; fructose-added,Occasional,
gelatine,gelatine; gélatine; gelatin,Occasional,
glucono-delta-lactone,glucono-delta-lactone; gdl; glucono delta lactone; e575,Occasional,E575
Glycérol / Glycérine,Glycérol / Glycérine; E422,Occasional,E422
glycine,glycine; sel de sodium de la glycine; glycine sodium salt; e640,Occasional,E640
gomme de caroube,gomme de caroube; carob gum; e410,Occasional,E410
gomme gellane,gomme gellane; gellan gum; e418,Occasional,E418
gomme guar,gomme guar; gomme de guar; guar gum; e412,Occasional,E412
Gomme karaya,Gomme karaya; E416,Occasional,E416
gomme konjac,gomme konjac; konjac gum; e425,Occasional,E425
gomme tara,gomme tara; tara gum; e417,Occasional,E417
gomme xanthane,gomme xanthane; xanthan gum; xanthan; e415,Occasional,E415
guanylate de calcium,guanylate de calcium; calcium guanylate; e629,Occasional,E629
guanylate dipotassique,guanylate dipotassique; dipotassium guanylate; e628,Occasional,E628
guanylate disodique,guanylate disodique; disodium guanylate; e627,Occasional,E627
Huile de canola / colza raffinée,Huile de canola / colza raffinée; canola-oil,Occasional,
huile de pepin de raisin,huile de pepin de raisin; grapeseed oil; pépins de raisin; grapeseed-oil,Occasional,
Huile végétale (non spécifiée),Huile végétale (non spécifiée); vegetable-oil,Occasional,
Hydroxypropyl cellulose,Hydroxypropyl cellulose; E463,Occasional,E463
Hydroxypropyl méthylcellulose,Hydroxypropyl méthylcellulose; E464,Occasional,E464
inosinate de calcium,inosinate de calcium; calcium inosinate; e633,Occasional,E633
inosinate dipotassique,inosinate dipotassique; dipotassium inosinate; e632,Occasional,E632
inosinate disodique,inosinate disodique; disodium inosinate; e631,Occasional,E631
"Isolat de protéines (whey, soja, lait)","Isolat de protéines (whey, soja, lait); protein-isolate",Occasional,
jus concentre,jus concentre; jus concentré; fruit juice concentrate; concentrated fruit juice,Occasional,
jus de pommes concentre,jus de pommes concentre; jus de pommes concentré; concentrated apple juice,Occasional,
